marca,modelo,ano,km,preco
FIAT,MOBI LIKE 1.0,2021/2022 ,76.576 km ,R$ 49.990
HYUNDAI,HB20 SENSE 1.0,2022/2022 ,58.682 km ,R$ 62.290
FIAT,MOBI LIKE 1.0,2022/2023 ,52.762 km ,R$ 54.790
FIAT,MOBI LIKE 1.0 4P,2022/2023 ,60.925 km ,R$ 54.290
TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,2021/2022 ,25.918 km ,R$ 155.190
TOYOTA,COROLLA CROSS XR FLEX 2.0 4P,2021/2022 ,24.954 km ,R$ 124.190
RENAULT,LOGAN ZEN 1.0,2022/2023 ,48.120 km ,R$ 64.390
VOLKSWAGEN,VOYAGE 1.0,2022/2023 ,22.111 km ,R$ 62.990
FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,95.633 km ,R$ 47.990
RENAULT,KWID ZEN 1.0 4P,2022/2023 ,18.187 km ,R$ 57.290
VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,2022/2022 ,45.430 km ,R$ 103.990
VOLKSWAGEN,GOL MPI 1.0 4P,2022/2023 ,68.410 km ,R$ 57.490
VOLKSWAGEN,GOL MPI 1.0 4P,2022/2023 ,47.916 km ,R$ 59.290
FIAT,ARGO FLEX 1.0 4P,2022/2022 ,65.625 km ,R$ 61.900
CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,2022/2023 ,30.035 km ,R$ 87.390
VOLKSWAGEN,GOL MPI MT 1.6 4P,2021/2022 ,57.374 km ,R$ 60.890
FIAT,MOBI LIKE 1.0 4P,2022/2023 ,13.411 km ,R$ 59.790
FIAT,MOBI LIKE 1.0 4P,2022/2023 ,15.611 km ,R$ 60.290
VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,2021/2021 ,87.439 km ,R$ 80.090
FIAT,MOBI LIKE 1.0 4P,2022/2023 ,55.178 km ,R$ 55.790
VOLKSWAGEN,VOYAGE 1.6,2021/2022 ,72.963 km ,R$ 63.790
CHEVROLET,ONIX JOY PLUS BLACK 1.0,2021/2021 ,69.456 km ,R$ 65.890
PEUGEOT,208 HATCH ALLURE 1.6,2022/2022 ,50.510 km ,R$ 78.090
FIAT,TORO ENDURANCE FLEX AT 4X2 1.8 4P,2021/2022 ,38.426 km ,R$ 104.490
HYUNDAI,HB20S COMFORT 1.0,2022/2023 ,68.407 km ,R$ 75.490
FIAT,MOBI LIKE 1.0,2022/2023 ,61.547 km ,R$ 54.290
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,57.161 km ,R$ 67.990
FIAT,CRONOS DRIVE 1.0,2022/2023 ,55.326 km ,R$ 73.790
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,58.039 km ,R$ 67.990
HYUNDAI,HB20S PLATINUM 1.0,2022/2022 ,60.763 km ,R$ 83.890
CITROEN,C3 FEEL 1.0,2022/2023 ,40.344 km ,R$ 74.090
FIAT,MOBI LIKE 1.0,2021/2022 ,56.354 km ,R$ 53.290
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,55.614 km ,R$ 67.990
FIAT,ARGO DRIVE 1.0,2022/2023 ,49.149 km ,R$ 69.590
CHERY,TIGGO 8 TXS 7L 1.6,2022/2023 ,9.433 km ,R$ 179.590
FIAT,ARGO 1.0,2022/2023 ,52.350 km ,R$ 61.990
FIAT,MOBI LIKE 1.0,2022/2023 ,51.621 km ,R$ 54.890
CITROEN,C4 CACTUS FEEL AT 1.6 4P,2022/2023 ,40.120 km ,R$ 87.790
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2022/2023 ,51.330 km ,R$ 60.900
FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,21.868 km ,R$ 53.790
FIAT,MOBI LIKE 1.0 4P,2022/2023 ,62.593 km ,R$ 54.790
FIAT,ARGO 1.0,2021/2022 ,81.878 km ,R$ 58.990
FIAT,ARGO DRIVE 1.0,2022/2023 ,45.869 km ,R$ 69.890
FIAT,NOVA STRADA ENDURANCE CABINE PLUS 1.4,2021/2022 ,49.467 km ,R$ 76.990
FIAT,ARGO 1.0,2022/2022 ,51.534 km ,R$ 64.590
FIAT,ARGO DRIVE 1.0,2022/2023 ,49.740 km ,R$ 69.590
VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021 ,51.241 km ,R$ 54.690
FIAT,ARGO 1.0,2022/2023 ,55.662 km ,R$ 61.990
FIAT,MOBI LIKE 1.0,2022/2023 ,60.870 km ,R$ 54.290
FIAT,CRONOS 1.3,2022/2022 ,75.807 km ,R$ 70.190
FIAT,ARGO 1.0,2022/2023 ,51.904 km ,R$ 61.990
CHEVROLET,ONIX LTZ 1.0,2023/2023 ,15.520 km ,R$ 90.490
VOLKSWAGEN,T-CROSS HIGHLINE 1.4,2020/2021 ,42.395 km ,R$ 119.490
CITROEN,C3 FEEL 1.0,2022/2023 ,39.683 km ,R$ 74.290
JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,2021/2021 ,30.063 km ,R$ 96.090
RENAULT,DUSTER ICONIC AT SCE 1.6 4P,2022/2023 ,20.352 km ,R$ 112.290
FIAT,CRONOS DRIVE 1.0,2022/2023 ,58.817 km ,R$ 73.390
RENAULT,KWID ZEN 1.0,2021/2022 ,43.443 km ,R$ 52.990
FIAT,CRONOS DRIVE 1.0,2022/2023 ,57.985 km ,R$ 73.590
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,52.225 km ,R$ 67.990
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,69.574 km ,R$ 67.990
HYUNDAI,HB20 EVOLUTION 1.0 4P,2022/2022 ,53.144 km ,R$ 68.990
FIAT,MOBI LIKE 1.0 4P,2021/2021 ,33.712 km ,R$ 53.590
CITROEN,C4 CACTUS FEEL AT 1.6 4P,2022/2022 ,40.925 km ,R$ 84.190
FIAT,CRONOS DRIVE 1.3 4P,2022/2022 ,52.682 km ,R$ 76.990
FORD,KA SEDAN SE PLUS AT 1.5 4P,2020/2020 ,41.973 km ,R$ 66.990
FIAT,CRONOS DRIVE 1.3 4P,2022/2022 ,52.654 km ,R$ 75.390
JEEP,RENEGADE LONGITUDE FLEX 4X2 AT 1.8 4P,2021/2021 ,26.383 km ,R$ 96.690
VOLKSWAGEN,GOL MPI 1.0 4P,2022/2023 ,57.741 km ,R$ 58.590
FIAT,ARGO FLEX 1.0 4P,2022/2023 ,31.843 km ,R$ 65.790
VOLKSWAGEN,VOYAGE MPI 1.0 4P,2021/2022 ,43.339 km ,R$ 58.590
CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,2021/2022 ,39.669 km ,R$ 80.990
VOLKSWAGEN,GOL 1.0,2022/2023 ,49.899 km ,R$ 56.990
FIAT,ARGO 1.0,2022/2023 ,51.826 km ,R$ 61.990
FIAT,MOBI LIKE 1.0 4P,2022/2023 ,17.259 km ,R$ 59.090
VOLKSWAGEN,VOYAGE MPI AT 1.6 4P,2021/2022 ,77.396 km ,R$ 66.390
VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021 ,70.504 km ,R$ 53.190
CITROEN,C3 FEEL 1.0,2022/2023 ,35.763 km ,R$ 74.590
FIAT,ARGO DRIVE 1.0,2021/2021 ,50.384 km ,R$ 64.790
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,61.832 km ,R$ 67.990
FIAT,MOBI LIKE 1.0,2022/2023 ,52.343 km ,R$ 54.790
FIAT,TORO FREEDOM 1.3,2022/2023 ,45.812 km ,R$ 134.290
FIAT,MOBI LIKE 1.0,2022/2023 ,52.410 km ,R$ 54.790
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,57.543 km ,R$ 67.990
HYUNDAI,HB20S COMFORT 1.0,2022/2023 ,57.367 km ,R$ 76.790
VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021 ,81.826 km ,R$ 52.290
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,55.082 km ,R$ 67.990
FIAT,ARGO FLEX 1.0 4P,2021/2022 ,32.622 km ,R$ 65.190
FIAT,ARGO FLEX 1.0 4P,2022/2023 ,59.666 km ,R$ 64.490
FIAT,MOBI LIKE 1.0 4P,2022/2022 ,56.781 km ,R$ 54.390
CHEVROLET,ONIX PLUS TURBO LTZ AT 1.0 4P,2022/2023 ,30.004 km ,R$ 93.890
HYUNDAI,HB20 VISION 1.0,2022/2022 ,74.916 km ,R$ 63.990
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,53.215 km ,R$ 67.990
HYUNDAI,HB20 LIMITED 1.0,2022/2023 ,63.024 km ,R$ 72.190
FIAT,ARGO DRIVE 1.0,2022/2023 ,40.207 km ,R$ 70.190
VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,2019/2020 ,77.416 km ,R$ 74.690
FIAT,ARGO FLEX 1.0 4P,2022/2023 ,77.416 km ,R$ 64.090
HYUNDAI,HB20 LIMITED 1.0,2022/2023 ,56.395 km ,R$ 72.790
VOLKSWAGEN,VOYAGE 1.6,2021/2022 ,18.535 km ,R$ 68.590
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,46.409 km ,R$ 67.990
VOLKSWAGEN,VOYAGE 1.6,2021/2022 ,64.049 km ,R$ 67.690
FIAT,MOBI LIKE 1.0,2022/2023 ,54.533 km ,R$ 54.690
HYUNDAI,HB20S PLATINUM TGDI AT 1.0 4P,2022/2022 ,27.540 km ,R$ 88.990
FIAT,MOBI LIKE 1.0,2022/2023 ,58.120 km ,R$ 54.390
VOLKSWAGEN,GOL 1.0,2022/2023 ,62.495 km ,R$ 56.990
FIAT,MOBI LIKE 1.0,2022/2023 ,52.048 km ,R$ 54.790
FIAT,MOBI LIKE 1.0,2022/2023 ,61.309 km ,R$ 54.290
FIAT,MOBI LIKE 1.0,2022/2023 ,61.073 km ,R$ 54.290
CHEVROLET,SPIN PREMIER 7L 1.8,2022/2023 ,42.525 km ,R$ 103.790
FIAT,ARGO DRIVE 1.0,2020/2021 ,38.325 km ,R$ 65.390
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,60.919 km ,R$ 67.990
CITROEN,C3 LIVE PACK 1.0,2022/2023 ,47.066 km ,R$ 69.990
FIAT,ARGO FLEX 1.0 4P,2021/2022 ,37.220 km ,R$ 64.090
VOLKSWAGEN,GOL 1.0,2022/2023 ,52.297 km ,R$ 56.990
FIAT,MOBI LIKE 1.0,2022/2023 ,43.000 km ,R$ 55.390
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,48.228 km ,R$ 67.990
FIAT,ARGO 1.0,2022/2023 ,58.546 km ,R$ 61.990
HYUNDAI,HB20 COMFORT 1.0,2022/2023 ,49.434 km ,R$ 67.990
CHEVROLET,ONIX PLUS LT 1.0,2022/2023 ,46.430 km ,R$ 77.990
VOLKSWAGEN,NIVUS HIGHLINE 200 TSI AT 1.0 4P,2022/2022 ,23.745 km ,R$ 124.390
RENAULT,CAPTUR INTENSE AT SCE 1.6 4P,2019/2020 ,49.959 km ,R$ 85.990
HYUNDAI,HB20 EVOLUTION 1.0 4P,2021/2022 ,20.478 km ,R$ 70.590
FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,53.547 km ,R$ 50.990
