data,marca,modelo,ano,km,preco
08/03/2024,HYUNDAI,HB20S EVOLUTION 1.0,"2022/2022
 ","46.915 km
 ",R$ 74.190
08/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","51.169 km
 ",R$ 52.490
08/03/2024,HYUNDAI,HB20 LIMITED 1.0,"2022/2023
 ","50.032 km
 ",R$ 69.990
08/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","52.284 km
 ",R$ 71.990
08/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","11.209 km
 ",R$ 68.690
08/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","46.046 km
 ",R$ 65.990
08/03/2024,HYUNDAI,HB20S COMFORT 1.0,"2022/2023
 ","62.636 km
 ",R$ 76.190
08/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","30.006 km
 ",R$ 62.090
08/03/2024,HYUNDAI,HB20 VISION 1.0,"2021/2022
 ","25.787 km
 ",R$ 69.190
08/03/2024,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2021/2022
 ","51.150 km
 ",R$ 62.490
08/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","15.608 km
 ",R$ 69.890
08/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","49.995 km
 ",R$ 52.490
08/03/2024,RENAULT,LOGAN ZEN 1.0,"2022/2023
 ","52.880 km
 ",R$ 64.090
08/03/2024,HYUNDAI,HB20S EVOLUTION 1.0,"2022/2022
 ","48.892 km
 ",R$ 73.990
08/03/2024,FIAT,NOVA STRADA ENDURANCE CABINE PLUS 1.4,"2022/2022
 ","48.989 km
 ",R$ 74.990
08/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","10.441 km
 ",R$ 58.890
08/03/2024,CHEVROLET,ONIX PLUS LTZ 1.0,"2022/2023
 ","28.145 km
 ",R$ 93.890
08/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","87.640 km
 ",R$ 62.290
08/03/2024,VOLKSWAGEN,TIGUAN ALLSPACE R-LINE 7L 2.0,"2019/2020
 ","62.167 km
 ",R$ 186.690
08/03/2024,HYUNDAI,HB20 PLATINUM 1.0,"2022/2022
 ","68.314 km
 ",R$ 79.690
08/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","61.966 km
 ",R$ 71.990
08/03/2024,HYUNDAI,HB20 SENSE 1.0,"2022/2023
 ","50.018 km
 ",R$ 62.990
08/03/2024,HYUNDAI,HB20S LIMITED 1.0,"2022/2023
 ","46.296 km
 ",R$ 80.090
