data,marca,modelo,ano,km,preco
15/03/2024,FIAT,ARGO DRIVE 1.0 4P,"2022/2022
 ","18.503 km
 ",R$ 69.290
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ",R$ 52.490
15/03/2024,VOLKSWAGEN,VOYAGE MPI 1.0 4P,"2021/2022
 ","58.239 km
 ",R$ 58.190
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","64.453 km
 ",R$ 62.890
15/03/2024,MITSUBISHI,ECLIPSE CROSS HPE 1.5,"2022/2023
 ","47.270 km
 ",R$ 146.990
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ",R$ 52.490
15/03/2024,RENAULT,KWID ZEN 1.0,"2021/2022
 ","43.443 km
 ",R$ 53.490
15/03/2024,CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2022/2023
 ","30.035 km
 ",R$ 87.390
15/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","15.608 km
 ",R$ 69.190
15/03/2024,RENAULT,DUSTER EXPRESSION AT SCE 1.6 4P,"2019/2020
 ","50.706 km
 ",R$ 78.890
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
 ","47.931 km
 ",R$ 59.390
15/03/2024,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ",R$ 54.190
15/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2022
 ","42.120 km
 ",R$ 77.390
15/03/2024,HYUNDAI,HB20 VISION 1.0 4P,"2022/2022
 ","41.885 km
 ",R$ 66.290
15/03/2024,FIAT,STRADA CP ENDURANCE FLEX 1.4 2P,"2022/2022
 ","25.980 km
 ",R$ 79.390
15/03/2024,MITSUBISHI,ECLIPSE CROSS GLS 1.5,"2022/2023
 ","39.611 km
 ",R$ 131.590
15/03/2024,VOLKSWAGEN,JETTA R-LINE 250 TSI 1.4 4P,"2019/2020
 ","49.039 km
 ",R$ 122.900
15/03/2024,FIAT,TORO ENDURANCE FLEX MT 4X2 1.8 4P,"2020/2020
 ","37.115 km
 ",R$ 95.900
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ",R$ 55.390
15/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","61.765 km
 ",R$ 67.490
15/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","75.411 km
 ",R$ 52.490
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2021/2022
 ","37.220 km
 ",R$ 64.090
15/03/2024,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ",R$ 53.190
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","77.416 km
 ",R$ 64.090
15/03/2024,VOLKSWAGEN,VIRTUS MSI AT 1.6 4P,"2019/2020
 ","77.416 km
 ",R$ 74.690
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ",R$ 54.090
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2023
 ","59.666 km
 ",R$ 64.490
15/03/2024,RENAULT,KWID ZEN 1.0,"2022/2023
 ","56.672 km
 ",R$ 54.690
15/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","49.288 km
 ",R$ 57.990
15/03/2024,CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2021/2022
 ","39.669 km
 ",R$ 80.990
15/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","45.086 km
 ",R$ 65.990
15/03/2024,FIAT,CRONOS DRIVE 1.3 4P,"2022/2022
 ","52.682 km
 ",R$ 76.990
15/03/2024,FIAT,CRONOS DRIVE 1.0,"2022/2023
 ","57.985 km
 ",R$ 69.990
15/03/2024,CITROEN,C3 FEEL 1.0,"2022/2023
 ","39.683 km
 ",R$ 72.790
15/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","62.593 km
 ",R$ 54.790
15/03/2024,CITROEN,C4 CACTUS FEEL AT 1.6 4P,"2022/2023
 ","40.120 km
 ",R$ 87.790
15/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2022
 ","40.243 km
 ",R$ 77.490
15/03/2024,FIAT,MOBI LIKE 1.0,"2021/2022
 ","56.354 km
 ",R$ 53.490
15/03/2024,CHEVROLET,ONIX JOY PLUS BLACK 1.0,"2021/2021
 ","69.456 km
 ",R$ 64.790
15/03/2024,VOLKSWAGEN,VOYAGE 1.6,"2021/2022
 ","72.963 km
 ",R$ 63.090
15/03/2024,FIAT,ARGO FLEX 1.0 4P,"2022/2022
 ","65.625 km
 ",R$ 61.900
